date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:12	129/129	---MCZ	200	added ('OK')	text/plain	etag:W/%22de-60cd52e3422c0%22	https://html5-games.io/robots.txt		(from )
10:49:12	1068/1068	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2011:21:52%20GMT	https://html5-games.io/game/helix-jumping/	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/index.html	(from )
10:49:13	227298/227298	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22377e2-5f25fca377400%22	https://html5-games.io/game/helix-jumping/favicon.ico	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/favicon.ico	(from https://html5-games.io/game/helix-jumping/)
10:49:13	1668/1668	---MCZ	200	added ('OK')	text/css	etag:W/%22684-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/style.css	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/style.css	(from https://html5-games.io/game/helix-jumping/)
10:49:14	1186/1186	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a2-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/UnityProgress.js	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/UnityProgress.js	(from https://html5-games.io/game/helix-jumping/)
10:49:14	157128/157128	---MCZ	200	added ('OK')	application/javascript	etag:W/%22265c8-5f25fca377400%22	https://html5-games.io/game/helix-jumping/Build/UnityLoader.js	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/Build/UnityLoader.js	(from https://html5-games.io/game/helix-jumping/)
10:49:15	2259/2259	---M--	200	added ('OK')	image/png	etag:%228d3-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/progressLogo.Light.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/progressLogo.Light.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:15	159/159	---M--	200	added ('OK')	image/png	etag:%229f-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/progressEmpty.Light.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/progressEmpty.Light.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:16	142/142	---M--	200	added ('OK')	image/png	etag:%228e-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/progressFull.Light.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/progressFull.Light.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:16	2343/2343	---M--	200	added ('OK')	image/png	etag:%22927-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/progressLogo.Dark.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/progressLogo.Dark.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:16	155/155	---M--	200	added ('OK')	image/png	etag:%229b-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/progressEmpty.Dark.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/progressEmpty.Dark.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:17	137/137	---M--	200	added ('OK')	image/png	etag:%2289-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/progressFull.Dark.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/progressFull.Dark.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:17	3587/3587	---M--	200	added ('OK')	image/png	etag:%22e03-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/webgl-logo.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/webgl-logo.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
10:49:17	345/345	---M--	200	added ('OK')	image/png	etag:%22159-5f25fca2831c0%22	https://html5-games.io/game/helix-jumping/TemplateData/fullscreen.png	C:/My%20Web%20Sites/Games/html5-games.io/game/helix-jumping/TemplateData/fullscreen.png	(from https://html5-games.io/game/helix-jumping/TemplateData/style.css)
